Wandera,San Francisco,http://www.wandera.com/
BitSight Technologies,Cambridge,http://bitsighttech.com/
Scality,San Francisco,http://www.scality.com/
Robo Wunderkind,San Francisco,http://robowunderkind.com/
Sensible Object,London,http://http/beastsofbalance.com
DigitalGenius,San Francisco,http://digitalgenius.com/
Augment,Paris,http://augment.com/
Improbable,London,http://www.improbable.io/
Socialite,London,http://www.getsocialite.com/
SpecifiedBy,Edinburgh,https://www.specifiedby.com/
Clustree,Paris,http://www.clustree.com/
Patsnap,Singapore,http://www.patsnapglobal.com/
Origin,London,https://originmarkets.com/
Hostmaker,London,http://hostmaker.co/
Qubit,London,http://www.qubit.com/
Distribusion Technologies,Bonn,http://www.distribusion.com/
EVRYTHNG,London,http://evrythng.com/
Arachnys,London,http://www.arachnys.com/
Lexoo,London,http://www.lexoo.co.uk/
Qonto,Paris,http://qonto.eu/
BuzzMove,London,https://www.buzzmove.com/
OpenPlay,London,http://www.openplay.co.uk/
Fluentify,London,http://www.fluentify.com/
Dataiku,Paris,http://www.dataiku.com/
N26,Berlin,https://n26.com/
Styla,Berlin,http://www.styla.com/
Tonsser,Copenhagen,http://tonsser.com/
BounceX,London,http://www.bouncex.com/
Soundbrenner,Berlin,http://www.soundbrenner.com/
Jinn,London,http://jinnapp.com/
Paddle,London,http://www.paddle.com/
Settle (Merged with Allset),Kyivs'ka oblast,http://settleorder.com/
Property.Works,London,http://www.property.works/
ClickMechanic,London,https://www.clickmechanic.com/
Bibblio,London,http://bibblio.org/
AmberBox,Mountain View,http://amberbox.com/
Farmdrop,London,http://farmdrop.com/
Barnebys,Stockholm,http://www.barnebys.com/
unu,Berlin,https://unumotors.com/
Goodlord,London,http://goodlord.co/
Costockage,Tel Aviv-Yafo,http://www.costockage.fr/
Numberfour AG,Berlin,http://numberfour.eu/
DATAPATH.IO,Mainz,https://www.datapath.io/
LangPrism,Krasnoyarsk,http://langprism.com/
kaia health,Munich,http://www.kaia-health.com/
CheckRecipient,London,http://www.checkrecipient.com/
Doctrina,Ljubljana,http://doctrina.si/en/
La Belle Assiette,Paris,https://labelleassiette.com/
ZenMate,Berlin,https://zenmate.com/
Panaseer,London,http://www.panaseer.com/
Wevolver,London,http://www.wevolver.com/
Rad.co,Paris,http://www.rad.co/
StreetTeam,London,http://getstreetteam.com/
CROWDYHOUSE,Amsterdam,https://www.crowdyhouse.com/
Lingumi,London,http://www.lingumi.com/
Chaser,London,http://www.chaser.io/
Scrap Connection,Amsterdam,http://www.scrapconnection.com/
BrickVest,London,http://www.brickvest.com/
Lima,San Francisco,http://meetlima.com/
Zmags,Copenhagen,http://www.zmags.com/
Holidu,Munich,http://www.holidu.com/
Oula.la Insurance,San Francisco,http://oula.la/
Workshare,London,http://www.workshare.com/
Beamery,London,http://www.beamery.com/
PortfolioStrat,London,http://www.portfoliostrat.com/
Powr of You,London,https://www.powrofyou.com/
Mom.life,San Francisco,http://mom.life/
ParkTAG,Berlin,http://www.parktag.mobi/
Doctrine,Paris,http://www.doctrine.fr/
agrilution,Munich,http://www.agrilution.com/
COBI,San Francisco,http://www.cobi.bike/
Tide,London,http://www.tide.co/
Glovo App,Barcelona,http://www.glovoapp.com/
callstats.io,Helsinki,http://www.callstats.io/
AREX,Dublin,http://arex.io/
Showpad,San Francisco,http://www.showpad.com/
CARTO,Madrid,http://www.carto.com/
Donkey Republic,Copenhagen,https://www.donkey.bike/
Agricool,Paris,http://www.agricool.co/
